query Pat5 Pat20
1 0.2 0.1
10 0.8 0.6
11 0.8 0.3
12 0.4 0.1
13 0.6 0.25
14 0.0 0.0
15 0.4 0.2
16 0.0 0.15
17 0.2 0.15
18 0.4 0.2
19 0.2 0.3
2 0.0 0.0
20 0.2 0.05
21 0.2 0.2
22 0.2 0.15
23 0.6 0.2
24 0.4 0.15
25 0.4 0.4
26 0.4 0.2
27 1.0 0.55
28 0.2 0.05
29 0.8 0.6
3 0.2 0.05
30 0.4 0.2
31 0.2 0.1
32 0.2 0.05
33 0.2 0.05
36 0.4 0.35
37 0.4 0.2
38 1.0 0.45
39 0.4 0.25
4 0.6 0.3
40 0.6 0.35
42 0.8 0.35
43 0.6 0.35
44 0.2 0.15
45 0.4 0.3
48 0.6 0.35
49 0.2 0.2
5 0.4 0.3
57 0.0 0.0
58 0.8 0.55
59 0.4 0.25
6 0.4 0.15
60 1.0 0.65
61 0.6 0.4
62 0.4 0.15
63 0.8 0.45
64 0.0 0.0
7 0.4 0.3
8 0.2 0.1
9 0.8 0.35
