query Pat5 Pat20
1 0.0 0.05
10 0.8 0.45
11 0.8 0.35
12 0.4 0.1
13 0.4 0.15
14 0.2 0.2
15 0.0 0.1
16 0.2 0.05
17 0.0 0.05
18 0.0 0.15
19 0.6 0.35
2 0.0 0.05
20 0.0 0.05
21 0.2 0.05
22 0.8 0.4
23 0.8 0.2
24 0.4 0.1
25 0.6 0.35
26 0.0 0.0
27 0.4 0.45
28 0.6 0.2
29 0.4 0.35
3 0.0 0.0
30 0.2 0.1
31 0.2 0.05
32 0.2 0.1
33 0.0 0.05
36 0.2 0.1
37 0.4 0.1
38 1.0 0.35
39 0.4 0.2
4 0.2 0.05
40 0.4 0.2
42 0.2 0.15
43 0.2 0.15
44 0.2 0.15
45 0.2 0.3
48 0.2 0.15
49 0.0 0.05
5 0.2 0.1
57 0.2 0.05
58 0.4 0.25
59 0.4 0.35
6 0.0 0.1
60 0.0 0.15
61 0.4 0.4
62 0.0 0.05
63 0.4 0.25
64 0.0 0.0
7 0.4 0.2
8 0.0 0.0
9 0.0 0.15
